fold,val_accuracy,val_loss
1,47.701149425287355,51.70454545454545
2,47.93863854266539,51.42045454545455
3,48.897411313518695,47.90621269110477
4,53.21188878235858,34.99621836344401
5,47.651006711409394,52.93560606060606
