Fold,Validation Accuracy (%),Validation Loss
1,96.91160809371672,0.0957478157710284
2,95.63365282215122,0.10600240264708798
3,96.80511182108626,0.0827090312105914
4,96.59211927582534,0.09241119287908077
5,96.91160809371672,0.08497410866742333
